"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-03-12,0.35039389,0,32,55.94,5.368656
2014-03-13,0,0,18.14,32,14.092722
2014-03-14,0,0,22.1,46.04,5.59235
2014-03-15,0,0,42.08,57.92,8.94776
2014-03-16,0,0,30.2,42.08,7.605596
2014-03-17,0,0,23.18,35.06,8.052984
2014-03-18,0,0,28.22,42.98,6.934514
2014-03-19,0.92126034,0,32,46.04,7.158208
2014-03-20,0,0,39.92,53.96,8.052984
2014-03-21,0,0,39.02,51.08,7.605596
2014-03-22,0,0,41,62.96,6.934514
2014-03-23,0,0,27.14,42.08,7.381902
2014-03-24,0,0,21.2,35.06,6.71082
2014-03-25,0,0,26.24,39.02,5.816044
2014-03-26,0,0,24.26,35.96,11.855782
2014-03-27,0,0,22.1,44.06,6.71082
2014-03-28,0.0393701,0,37.04,62.06,5.368656
2014-03-29,1.8110246,0,42.98,59,10.737312
