date,day_of_week,is_weekend,felonies,accidents,accident_injuriesDeaths,any_precip,temp_min_degF,temp_max_degF,windspeed_avg_mph,is_holiday,school_attendance_pct,is_school_day
3/19/15,Thursday,0,253,580,110,0,29.12,42.98,5.816044,0,86.35,1
3/20/15,Friday,0,267,570,158,1,29.12,37.94,7.82929,0,89.76,1
3/21/15,Saturday,1,224,506,117,0,29.12,46.94,5.368656,0,0,0
3/22/15,Sunday,1,226,432,125,0,28.22,42.98,7.605596,0,0,0
3/23/15,Monday,0,228,586,100,0,23.18,37.94,6.71082,0,91.03,1
3/24/15,Tuesday,0,237,601,121,0,26.24,44.96,4.026492,0,91.68,1
3/25/15,Wednesday,0,221,537,155,1,33.98,48.92,4.47388,0,92.09,1
3/26/15,Thursday,0,200,525,132,1,42.08,62.06,2.908022,0,91.7,1
3/27/15,Friday,0,255,530,84,1,39.02,46.04,4.250186,0,86.99,1
3/28/15,Saturday,1,282,459,90,0,26.24,39.92,7.605596,0,0,0
3/29/15,Sunday,1,243,505,102,0,25.16,46.04,6.263432,0,0,0
3/30/15,Monday,0,251,556,138,0,35.96,53.96,7.82929,0,90.26,1
3/31/15,Tuesday,0,278,627,117,1,35.06,46.94,5.368656,0,91.55,1
4/1/15,Wednesday,0,291,648,143,0,32,51.08,5.144962,0,91.15,1
4/2/15,Thursday,0,260,653,132,0,41,66.92,6.263432,0,88.53,1
4/3/15,Friday,0,279,491,109,1,59,64.04,6.71082,0,0,0
4/4/15,Saturday,1,247,507,135,1,42.08,60.08,10.06623,0,0,0
4/5/15,Sunday,1,227,421,131,0,42.08,60.98,4.921268,0,0,0
4/6/15,Monday,0,260,509,110,0,42.08,62.96,4.250186,0,0,0
4/7/15,Tuesday,0,232,452,105,1,42.08,62.06,6.934514,0,0,0
4/8/15,Wednesday,0,219,457,82,0,37.04,44.96,11.408394,0,0,0
4/9/15,Thursday,0,244,451,88,0,37.04,42.98,8.94776,0,0,0
4/10/15,Friday,0,234,486,128,1,39.02,55.94,4.697574,0,0,0
4/11/15,Saturday,1,276,576,130,0,44.06,57.02,8.724066,0,0,0
4/12/15,Sunday,1,265,443,130,0,42.98,66.02,3.35541,0,0,0
4/13/15,Monday,0,267,554,126,0,50,68,4.697574,0,90.52,1
4/14/15,Tuesday,0,244,540,115,1,55.04,64.94,3.802798,0,92.68,1
4/15/15,Wednesday,0,294,592,148,0,51.08,71.96,6.263432,0,93.2,1
4/16/15,Thursday,0,263,560,114,0,51.98,64.04,6.487126,0,92.83,1
4/17/15,Friday,0,293,679,181,1,55.04,71.06,5.144962,0,89.34,1
4/18/15,Saturday,1,306,604,184,0,59,80.06,4.250186,0,0,0
4/19/15,Sunday,1,295,471,139,0,48.02,64.04,8.500372,0,0,0
4/20/15,Monday,0,241,630,139,1,46.04,57.02,7.381902,0,89.28,1
4/21/15,Tuesday,0,283,645,143,1,51.98,64.94,6.039738,0,92,1
4/22/15,Wednesday,0,277,568,113,1,48.02,69.08,6.487126,0,93.12,1
4/23/15,Thursday,0,254,612,120,0,41,51.98,9.171454,0,92.6,1
4/24/15,Friday,0,287,675,150,0,39.02,51.98,8.500372,0,91.4,1
4/25/15,Saturday,1,273,590,157,0,37.94,62.06,5.59235,0,0,0
4/26/15,Sunday,1,244,477,143,0,46.04,64.04,5.144962,0,0,0
4/27/15,Monday,0,275,558,118,0,48.92,62.06,5.816044,0,89.92,1
4/28/15,Tuesday,0,284,613,125,0,50,71.06,7.82929,0,91.39,1
4/29/15,Wednesday,0,307,679,175,0,50,78.08,5.59235,0,91.63,1
4/30/15,Thursday,0,285,640,132,0,48.02,66.92,8.052984,0,91.03,1
5/1/15,Friday,0,354,642,149,0,48.92,62.96,5.144962,0,89.42,1
5/2/15,Saturday,1,281,540,132,0,48.02,73.94,2.908022,0,0,0
5/3/15,Sunday,1,277,555,154,0,51.08,80.06,2.460634,0,0,0
5/4/15,Monday,0,273,640,157,0,57.02,84.92,5.368656,0,89.88,1
5/5/15,Tuesday,0,287,637,138,0,66.02,84.92,4.026492,0,90.44,1
5/6/15,Wednesday,0,275,568,103,0,59,73.04,4.921268,0,90.17,1
5/7/15,Thursday,0,256,684,151,0,55.94,80.06,2.23694,0,90.79,1
5/8/15,Friday,0,330,709,173,0,55.94,82.04,2.908022,0,89.1,1
5/9/15,Saturday,1,281,560,125,0,57.02,69.98,4.250186,0,0,0
5/10/15,Sunday,1,294,549,195,0,60.98,82.94,3.579104,0,0,0
5/11/15,Monday,0,302,645,174,0,69.98,84.02,3.802798,0,88.51,1
5/12/15,Tuesday,0,282,683,177,0,64.04,86,5.368656,0,90.96,1
5/13/15,Wednesday,0,329,654,158,0,53.06,69.98,7.381902,0,91.11,1
5/14/15,Thursday,0,293,654,173,0,50,73.04,3.802798,0,90.85,1
5/15/15,Friday,0,288,722,162,0,55.04,75.02,3.35541,0,88.93,1
5/16/15,Saturday,1,261,649,181,1,57.02,75.02,2.013246,0,0,0
5/17/15,Sunday,1,269,543,200,1,64.04,82.94,2.013246,0,0,0
5/18/15,Monday,0,319,566,115,0,60.08,75.02,4.697574,0,89.45,1
5/19/15,Tuesday,0,258,605,139,0,59,80.06,2.460634,0,90.51,1
5/20/15,Wednesday,0,281,664,151,0,53.96,66.92,6.934514,0,91.29,1
5/21/15,Thursday,0,287,615,132,0,51.98,62.06,2.684328,0,90.52,1
